yourlist:M202206216320BA52A5CE8FCD097CB85A53697A355200ED8	Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A140LC57	UniRef100_A0A140LC57	Cluster: Uncharacterized protein	A0A140LC57	Fervidicola ferrireducens	118	520764
UniRef100_UPI000497EF99	UniRef100_UPI000497EF99	Cluster: stage V sporulation protein AE	UPI000497EF99	Clostridium algidicarnis	117	37659
UniRef100_UPI00129A6660	UniRef100_UPI00129A6660	Cluster: stage V sporulation protein AE	UPI00129A6660	Sporosarcina sp. A4	120	2660747
UniRef100_U6SUG3	UniRef100_U6SUG3	Cluster: Stage V sporulation protein AEB	U6SUG3	Alkalihalophilus marmarensis DSM 21297	116	1188261
UniRef100_UPI001C452045	UniRef100_UPI001C452045	Cluster: stage V sporulation protein AE	UPI001C452045	Clostridium sp. PL3	117	2794346
UniRef100_UPI00166DE3FA	UniRef100_UPI00166DE3FA	Cluster: stage V sporulation protein AE	UPI00166DE3FA	Paenibacillus abyssi	116	1340531
UniRef100_UPI0019D2FAEB	UniRef100_UPI0019D2FAEB	Cluster: stage V sporulation protein AE	UPI0019D2FAEB; UPI001F495D33	Brevibacillus sp. SYP-B805	130	1578199
UniRef100_A0A1G7BRC7	UniRef100_A0A1G7BRC7	Cluster: Stage V sporulation protein AE	A0A1G7BRC7	Bhargavaea beijingensis	120	426756
UniRef100_UPI001CA7ACCF	UniRef100_UPI001CA7ACCF	Cluster: stage V sporulation protein AE	UPI001CA7ACCF	Crassaminicella profunda	117	1286698
UniRef100_R5IEG3	UniRef100_R5IEG3	Cluster: Stage V sporulation protein AE	R5IEG3	Firmicutes bacterium CAG:124	118	1263002
UniRef100_A0A2W4K114	UniRef100_A0A2W4K114	Cluster: Stage V sporulation protein AE	A0A2W4K114	Firmicutes bacterium	118	1879010
UniRef100_A0A0C2V633	UniRef100_A0A0C2V633	Cluster: Stage V sporulation protein AEB	A0A0C2V633	Paenibacillus sp. VKM B-2647	121	1590651
UniRef100_A0A385T585	UniRef100_A0A385T585	Cluster: Stage V sporulation protein AE	A0A385T585; UPI001EF83A35	Brevibacillus laterosporus (Bacillus laterosporus)	116	1465
UniRef100_UPI00193BF314	UniRef100_UPI00193BF314	Cluster: stage V sporulation protein AE	UPI00193BF314	Clostridium sp. D2Q-14	117	2683194
UniRef100_UPI00192B1087	UniRef100_UPI00192B1087	Cluster: stage V sporulation protein AE	UPI00192B1087	Clostridium sp. YIM B02515	117	2803861
UniRef100_A0A162T401	UniRef100_A0A162T401	Cluster: Stage V sporulation protein AE	A0A162T401	Acidibacillus ferrooxidans	120	1765683
UniRef100_I4D148	UniRef100_I4D148	Cluster: Stage V sporulation protein AE	I4D148	Desulfosporosinus acidiphilus (strain DSM 22704 / JCM 16185 / SJ4)	117	646529
UniRef100_UPI001662362B	UniRef100_UPI001662362B	Cluster: stage V sporulation protein AE	UPI001662362B	Bacillus halotolerans	116	260554
UniRef100_A0A1G4PTT5	UniRef100_A0A1G4PTT5	Cluster: Stage V sporulation protein AE	A0A1G4PTT5; UPI000B82B1FA	Paenibacillus tianmuensis	124	624147
UniRef100_A0A7U3ABT1	UniRef100_A0A7U3ABT1	Cluster: Stage V sporulation protein AE	A0A7U3ABT1; A0A1M6SBB2	Alicyclobacillus sp. TC; Alicyclobacillus montanus	119	2606450; 1830138
UniRef100_A0A0R3JVB5	UniRef100_A0A0R3JVB5	Cluster: SpoVA protein	A0A0R3JVB5	Caloramator mitchellensis	119	908809
UniRef100_A0A1F8UKK2	UniRef100_A0A1F8UKK2	Cluster: Stage V sporulation protein AE	A0A1F8UKK2	Clostridiales bacterium GWE2_32_10	118	1797681
UniRef100_A0A3B8K8G4	UniRef100_A0A3B8K8G4	Cluster: Stage V sporulation protein AE	A0A3B8K8G4	Firmicutes bacterium	117	1879010
UniRef100_K0IZ68	UniRef100_K0IZ68	Cluster: Stage V sporulation protein AE	K0IZ68; A0A847WQ12	Amphibacillus xylanus (strain ATCC 51415 / DSM 6626 / JCM 7361 / LMG 17667 / NBRC 15112 / Ep01); Amphibacillus sp.	116	698758; 1872500
UniRef100_UPI001AE4C18D	UniRef100_UPI001AE4C18D	Cluster: stage V sporulation protein AE	UPI001AE4C18D	unclassified Paenibacillus	121	185978
UniRef100_UPI001BA7390C	UniRef100_UPI001BA7390C	Cluster: stage V sporulation protein AE	UPI001BA7390C	Psychrobacillus sp. INOP01	121	2829187
UniRef100_N0AXK1	UniRef100_N0AXK1	Cluster: Stage V sporulation protein AE	N0AXK1	Bacillus sp. 1NLA3E	118	666686
UniRef100_UPI00082A0F74	UniRef100_UPI00082A0F74	Cluster: stage V sporulation protein AE	UPI00082A0F74	Alicyclobacillus kakegawensis	121	392012
UniRef100_S2XQE5	UniRef100_S2XQE5	Cluster: Stage V sporulation protein AE	S2XQE5	Paenisporosarcina sp. HGH0030	121	1078085
UniRef100_A0A1W1WZ06	UniRef100_A0A1W1WZ06	Cluster: Stage V sporulation protein AE	A0A1W1WZ06	Clostridium acidisoli DSM 12555	117	1121291
UniRef100_A0A2G6ATG8	UniRef100_A0A2G6ATG8	Cluster: Stage V sporulation protein AE	A0A2G6ATG8	Sporosarcina sp. P34	120	2048247
UniRef100_A0A0D5NM79	UniRef100_A0A0D5NM79	Cluster: Stage V sporulation protein AEB	A0A0D5NM79	Paenibacillus beijingensis	116	1126833
UniRef100_A0A0U2UDE3	UniRef100_A0A0U2UDE3	Cluster: Stage V sporulation protein AE	A0A0U2UDE3; UPI000785C8F3	Paenibacillus naphthalenovorans; Paenibacillus	124	162209; 44249
UniRef100_A0A6N7XWF8	UniRef100_A0A6N7XWF8	Cluster: Stage V sporulation protein AE	A0A6N7XWF8	Tissierella pigra	118	2607614
UniRef100_A0A502IWN5	UniRef100_A0A502IWN5	Cluster: Stage V sporulation protein AE	A0A502IWN5	Brevibacillus laterosporus (Bacillus laterosporus)	116	1465
UniRef100_UPI00195FE147	UniRef100_UPI00195FE147	Cluster: stage V sporulation protein AE	UPI00195FE147	Sporolactobacillus spathodeae	116	1465502
UniRef100_UPI00195857AF	UniRef100_UPI00195857AF	Cluster: stage V sporulation protein AE	UPI00195857AF	Bacillus ectoiniformans	118	1494429
UniRef100_UPI000C259EB3	UniRef100_UPI000C259EB3	Cluster: stage V sporulation protein AE	UPI000C259EB3	Sporolactobacillus pectinivorans	116	1591408
UniRef100_A0A101WHH2	UniRef100_A0A101WHH2	Cluster: Stage V sporulation protein AEB	A0A101WHH2	Clostridia bacterium BRH_c25	117	1734399
UniRef100_A0A3D0YB23	UniRef100_A0A3D0YB23	Cluster: Stage V sporulation protein AE	A0A3D0YB23	Clostridiales bacterium	118	1898207
UniRef100_D3T8V1	UniRef100_D3T8V1	Cluster: Stage V sporulation protein AE	D3T8V1; D7ANX3	Thermoanaerobacter italicus (strain DSM 9252 / Ab9); Thermoanaerobacter mathranii subsp. mathranii (strain DSM 11426 / CCUG 53645 / CIP 108742 / A3)	118	580331; 583358
UniRef100_A0A419TB64	UniRef100_A0A419TB64	Cluster: Stage V sporulation protein AE	A0A419TB64	Thermohalobacter berrensis	118	99594
UniRef100_A0A1C6JDZ7	UniRef100_A0A1C6JDZ7	Cluster: Stage V sporulation protein AE	A0A1C6JDZ7; A0A8J6IRA2	uncultured Anaerotruncus sp.; Neobittarella massiliensis	118	905011; 2041842
UniRef100_A0A512CNF0	UniRef100_A0A512CNF0	Cluster: Stage V sporulation protein AE	A0A512CNF0	Alicyclobacillus acidoterrestris	120	1450
UniRef100_UPI001C4033C4	UniRef100_UPI001C4033C4	Cluster: stage V sporulation protein AE	UPI001C4033C4	Paenibacillus allorhizosphaerae	121	2849866
UniRef100_A0A5S3QNC5	UniRef100_A0A5S3QNC5	Cluster: Stage V sporulation protein AE	A0A5S3QNC5	Lentibacillus cibarius	116	2583219
UniRef100_A0A1M6AQ74	UniRef100_A0A1M6AQ74	Cluster: Stage V sporulation protein AE	A0A1M6AQ74	Clostridium cavendishii DSM 21758	118	1121302
UniRef100_A0A1M7JC46	UniRef100_A0A1M7JC46	Cluster: Stage V sporulation protein AE	A0A1M7JC46	Caldanaerovirga acetigignens	118	447595
UniRef100_A0A101XR10	UniRef100_A0A101XR10	Cluster: Stage V sporulation protein AEB	A0A101XR10	Acidibacillus ferrooxidans	116	1765683
UniRef100_A0A7M2B7D1	UniRef100_A0A7M2B7D1	Cluster: Stage V sporulation protein AE	A0A7M2B7D1	Brevibacterium sp. JNUCC-42	116	2777985
UniRef100_A0A097ARH5	UniRef100_A0A097ARH5	Cluster: Stage V sporulation protein AEB	A0A097ARH5	Thermoanaerobacter kivui (Acetogenium kivui)	118	2325
UniRef100_A0A1Q9PNW2	UniRef100_A0A1Q9PNW2	Cluster: Stage V sporulation protein AE	A0A1Q9PNW2	Alkalihalobacillus pseudofirmus (Bacillus pseudofirmus)	116	79885
UniRef100_UPI00177C8C52	UniRef100_UPI00177C8C52	Cluster: stage V sporulation protein AE	UPI00177C8C52	Clostridium sp. Sa3CUN1	118	2762246
UniRef100_A0A368XZ91	UniRef100_A0A368XZ91	Cluster: Stage V sporulation protein AE	A0A368XZ91	Saliterribacillus persicus	116	930114
UniRef100_A0A410PRQ0	UniRef100_A0A410PRQ0	Cluster: Stage V sporulation protein AE	A0A410PRQ0	Clostridium sp. JN-9	117	2507159
UniRef100_UPI0002889CB2	UniRef100_UPI0002889CB2	Cluster: stage V sporulation protein AE	UPI0002889CB2	Sporolactobacillus vineae	116	444463
UniRef100_A0A386PFS5	UniRef100_A0A386PFS5	Cluster: Stage V sporulation protein AE	A0A386PFS5	Clostridium septicum	118	1504
UniRef100_UPI001668669E	UniRef100_UPI001668669E	Cluster: stage V sporulation protein AE	UPI001668669E	Sporolactobacillus putidus	116	492735
UniRef100_A0A096BJ06	UniRef100_A0A096BJ06	Cluster: Stage V sporulation protein AEB	A0A096BJ06	Caloranaerobacter azorensis H53214	118	1156417
UniRef100_A0A2S5HXQ0	UniRef100_A0A2S5HXQ0	Cluster: Stage V sporulation protein AE	A0A2S5HXQ0	Brevibacillus laterosporus (Bacillus laterosporus)	116	1465
UniRef100_UPI001AE506E9	UniRef100_UPI001AE506E9	Cluster: stage V sporulation protein AE	UPI001AE506E9	Clostridium moniliforme	117	39489
UniRef100_UPI000B9C237F	UniRef100_UPI000B9C237F	Cluster: stage V sporulation protein AE	UPI000B9C237F; UPI001F54868D	Brevibacillus; Brevibacillus laterosporus (Bacillus laterosporus)	116	55080; 1465
UniRef100_A0A7V6G1M5	UniRef100_A0A7V6G1M5	Cluster: Stage V sporulation protein AE	A0A7V6G1M5	Eubacteriaceae bacterium	117	2049045
UniRef100_UPI00084DE2F9	UniRef100_UPI00084DE2F9	Cluster: stage V sporulation protein AE	UPI00084DE2F9	Caloranaerobacter ferrireducens	118	1323370
UniRef100_A0A1G9THM3	UniRef100_A0A1G9THM3	Cluster: Stage V sporulation protein AE	A0A1G9THM3	Psychrobacillus sp. OK028	121	1884359
UniRef100_A0A3B0C1K6	UniRef100_A0A3B0C1K6	Cluster: Stage V sporulation protein AE	A0A3B0C1K6	Paenibacillus ginsengarvi	121	400777
UniRef100_A0A6N8CMF8	UniRef100_A0A6N8CMF8	Cluster: Stage V sporulation protein AE	A0A6N8CMF8	Terrilactibacillus tamarindi	116	2599694
UniRef100_A0A1N7N2R2	UniRef100_A0A1N7N2R2	Cluster: Stage V sporulation protein AE	A0A1N7N2R2	Alicyclobacillus vulcanalis	116	252246
UniRef100_A0A5R9GBD4	UniRef100_A0A5R9GBD4	Cluster: Stage V sporulation protein AE	A0A5R9GBD4	Paenibacillus antri	116	2582848
UniRef100_A0A2G5WRA5	UniRef100_A0A2G5WRA5	Cluster: Stage V sporulation protein AE	A0A2G5WRA5	Sporosarcina sp. P16a	120	2048262
UniRef100_A0A1F8ULH2	UniRef100_A0A1F8ULH2	Cluster: Stage V sporulation protein AE	A0A1F8ULH2	Clostridiales bacterium GWD2_32_59	118	1797680
UniRef100_UPI00115943D2	UniRef100_UPI00115943D2	Cluster: stage V sporulation protein AE	UPI00115943D2	Hathewaya massiliensis	118	1964382
UniRef100_T0C8S9	UniRef100_T0C8S9	Cluster: Stage V sporulation protein AEB	T0C8S9	Alicyclobacillus acidoterrestris (strain ATCC 49025 / DSM 3922 / CIP 106132 / NCIMB 13137 / GD3B)	120	1356854
UniRef100_A0A0J5V5T6	UniRef100_A0A0J5V5T6	Cluster: Stage V sporulation protein AE	A0A0J5V5T6; A0A0Q6L635; A0A653NZM2	Rossellomorea marisflavi; Bacillus sp. Leaf406; Bacillus sp. 349Y	118	189381; 1736368; 2653176
UniRef100_A0A424Y9B5	UniRef100_A0A424Y9B5	Cluster: Stage V sporulation protein AE	A0A424Y9B5	Candidatus Syntrophonatronum acetioxidans	117	1795816
UniRef100_A0A4V2UVH3	UniRef100_A0A4V2UVH3	Cluster: Stage V sporulation protein AE	A0A4V2UVH3; UPI0010488806	Hazenella coriacea	117	1179467
UniRef100_A0A7X8RE53	UniRef100_A0A7X8RE53	Cluster: Stage V sporulation protein AE	A0A7X8RE53	Clostridia bacterium	119	2044939
UniRef100_A0A6P1YBV5	UniRef100_A0A6P1YBV5	Cluster: Stage V sporulation protein AE	A0A6P1YBV5	Caloranaerobacter azorensis	118	116090
UniRef100_L1Q463	UniRef100_L1Q463	Cluster: Stage V sporulation protein AE	L1Q463	Clostridium celatum DSM 1785	126	545697
UniRef100_A0A0F7EIB3	UniRef100_A0A0F7EIB3	Cluster: Stage V sporulation protein AEB	A0A0F7EIB3	Brevibacillus laterosporus (Bacillus laterosporus)	116	1465
UniRef100_A0A1M4YZG5	UniRef100_A0A1M4YZG5	Cluster: Stage V sporulation protein AE	A0A1M4YZG5	Caloramator proteoclasticus DSM 10124	118	1121262
UniRef100_A0A1M5UM86	UniRef100_A0A1M5UM86	Cluster: Stage V sporulation protein AE	A0A1M5UM86	Sporanaerobacter acetigenes DSM 13106	118	1123281
UniRef100_A0A540V3L8	UniRef100_A0A540V3L8	Cluster: Stage V sporulation protein AE	A0A540V3L8	Ureibacillus terrenus	122	118246
UniRef100_UPI001008E8A1	UniRef100_UPI001008E8A1	Cluster: stage V sporulation protein AE	UPI001008E8A1	Longirhabdus pacifica	117	2305227
UniRef100_UPI001A8FDF27	UniRef100_UPI001A8FDF27	Cluster: stage V sporulation protein AE	UPI001A8FDF27	Alicyclobacillus fructus	116	2816082
UniRef100_A0A4V1AN64	UniRef100_A0A4V1AN64	Cluster: Stage V sporulation protein AE	A0A4V1AN64	Paenisporosarcina antarctica	121	417367
UniRef100_UPI00110DC65D	UniRef100_UPI00110DC65D	Cluster: stage V sporulation protein AE	UPI00110DC65D	Paenibacillus mesophilus	121	2582849
UniRef100_UPI001917D50B	UniRef100_UPI001917D50B	Cluster: stage V sporulation protein AE	UPI001917D50B	Tumebacillus sp. ITR2	116	2801339
UniRef100_A0A1M5V7A5	UniRef100_A0A1M5V7A5	Cluster: Stage V sporulation protein AE	A0A1M5V7A5	Caloranaerobacter azorensis DSM 13643	118	1121264
UniRef100_A0A1I5WUY2	UniRef100_A0A1I5WUY2	Cluster: Stage V sporulation protein AE	A0A1I5WUY2	Psychrobacillus psychrotolerans	121	126156
UniRef100_A0A1C5MSX9	UniRef100_A0A1C5MSX9	Cluster: Stage V sporulation protein AE	A0A1C5MSX9; A0A8I0DRA2; A0A373NIC4	uncultured Blautia sp.; Blautia sp. BX17; Ruminococcus sp. AF31-8BH	118	765821; 2763030; 2293174
UniRef100_UPI000B43BDE8	UniRef100_UPI000B43BDE8	Cluster: stage V sporulation protein AE	UPI000B43BDE8	Alkalihalobacillus urbisdiaboli	116	1960589
UniRef100_UPI00047A9DFB	UniRef100_UPI00047A9DFB	Cluster: stage V sporulation protein AE	UPI00047A9DFB	Alicyclobacillus herbarius	116	122960
UniRef100_UPI00035E8B65	UniRef100_UPI00035E8B65	Cluster: stage V sporulation protein AE	UPI00035E8B65	Calidifontibacillus oryziterrae	117	1191699
UniRef100_A0A6N3FHX5	UniRef100_A0A6N3FHX5	Cluster: SpoVA protein	A0A6N3FHX5	Clostridium tertium	118	1559
UniRef100_UPI00083196F1	UniRef100_UPI00083196F1	Cluster: stage V sporulation protein AE	UPI00083196F1	Clostridium nigeriense	118	1805470
UniRef100_A0A7C5Z6J1	UniRef100_A0A7C5Z6J1	Cluster: Stage V sporulation protein AE	A0A7C5Z6J1	Caldicellulosiruptor owensensis	117	55205
UniRef100_R6VHM3	UniRef100_R6VHM3	Cluster: Uncharacterized protein	R6VHM3; A0A373IXF8	Firmicutes bacterium CAG:227; Firmicutes bacterium AM10-47	118	1263010; 2292890
UniRef100_A0A099SBW9	UniRef100_A0A099SBW9	Cluster: Stage V sporulation protein AEB	A0A099SBW9	Clostridium sp. HMP27	117	1487921
UniRef100_A0A075R944	UniRef100_A0A075R944	Cluster: Stage V sporulation protein AE	A0A075R944	Brevibacillus laterosporus LMG 15441	116	1042163
UniRef100_A0A6I6F2Z0	UniRef100_A0A6I6F2Z0	Cluster: Stage V sporulation protein AE	A0A6I6F2Z0	Clostridium bovifaecis	119	2184719
UniRef100_A0A6B8K3Z0	UniRef100_A0A6B8K3Z0	Cluster: Stage V sporulation protein AE	A0A6B8K3Z0; A0A5J6PIM0	Bacillus sp. N3536; Psychrobacillus sp. AK 1817	121	2666127; 2303505
UniRef100_R4K937	UniRef100_R4K937	Cluster: Stage V sporulation protein AE	R4K937	Clostridium pasteurianum BC1	117	86416
UniRef100_UPI0018F44360	UniRef100_UPI0018F44360	Cluster: stage V sporulation protein AE	UPI0018F44360	Paenibacillus sp. YIM B00362	116	2799335
UniRef100_A0A0N8NMG7	UniRef100_A0A0N8NMG7	Cluster: Stage V sporulation protein AEB	A0A0N8NMG7	Caloranaerobacter sp. TR13	118	1302151
UniRef100_UPI001899DE8C	UniRef100_UPI001899DE8C	Cluster: stage V sporulation protein AE	UPI001899DE8C	Clostridium celatum	118	36834
UniRef100_M1MII9	UniRef100_M1MII9	Cluster: Stage V sporulation protein AEB	M1MII9	Clostridium saccharoperbutylacetonicum N1-4(HMT)	118	931276
UniRef100_A0A2W7NCK1	UniRef100_A0A2W7NCK1	Cluster: Stage V sporulation protein AE	A0A2W7NCK1	Psychrobacillus insolitus	121	1461
UniRef100_A0A7T5EQI4	UniRef100_A0A7T5EQI4	Cluster: Stage V sporulation protein AE	A0A7T5EQI4	Alicyclobacillus sp. SO9	116	2665646
UniRef100_UPI001472A393	UniRef100_UPI001472A393	Cluster: stage V sporulation protein AE	UPI001472A393	Bacillus fonticola	118	2728853
UniRef100_UPI00064F1382	UniRef100_UPI00064F1382	Cluster: stage V sporulation protein AE	UPI00064F1382	Rossellomorea marisflavi	118	189381
UniRef100_A0A8F5G3G1	UniRef100_A0A8F5G3G1	Cluster: Stage V sporulation protein AE	A0A8F5G3G1	Crassaminicella sp. 143-21	118	2855394
UniRef100_UPI001C1FF338	UniRef100_UPI001C1FF338	Cluster: stage V sporulation protein AE	UPI001C1FF338	Paenibacillus sp. SM 69	121	2594886
UniRef100_A0A2Z4WCY0	UniRef100_A0A2Z4WCY0	Cluster: Stage V sporulation protein AE	A0A2Z4WCY0	Clostridiaceae bacterium 14S0207	118	2082193
UniRef100_A0A2S1AGT2	UniRef100_A0A2S1AGT2	Cluster: Stage V sporulation protein AE	A0A2S1AGT2	Bacillus cytotoxicus	116	580165
UniRef100_H0UF83	UniRef100_H0UF83	Cluster: Stage V sporulation protein AE	H0UF83; A0A838XBW3	Brevibacillus laterosporus GI-9; Brevibacillus halotolerans	116	1118154; 1507437
UniRef100_A0A3D4QPB8	UniRef100_A0A3D4QPB8	Cluster: Stage V sporulation protein AE	A0A3D4QPB8	Clostridiales bacterium	117	1898207
UniRef100_A0A7U9XHB9	UniRef100_A0A7U9XHB9	Cluster: Uncharacterized protein	A0A7U9XHB9	Lachnospiraceae bacterium	118	1898203
UniRef100_A0A4Q4JEM6	UniRef100_A0A4Q4JEM6	Cluster: Stage V sporulation protein AE	A0A4Q4JEM6	Sporolactobacillus sp. THM7-7	116	2511172
UniRef100_UPI00195EE31C	UniRef100_UPI00195EE31C	Cluster: stage V sporulation protein AE	UPI00195EE31C	Clostridium sardiniense (Clostridium absonum)	117	29369
UniRef100_S6EYD8	UniRef100_S6EYD8	Cluster: Putative Stage V sporulation protein AE	S6EYD8	Clostridium chauvoei JF4335	118	1351755
UniRef100_UPI0004058A92	UniRef100_UPI0004058A92	Cluster: stage V sporulation protein AE	UPI0004058A92	Caldicellulosiruptor acetigenus	117	301953
UniRef100_UPI0008323FA1	UniRef100_UPI0008323FA1	Cluster: stage V sporulation protein AE	UPI0008323FA1	Alicyclobacillus mali	116	1123961
UniRef100_A0A544TRY9	UniRef100_A0A544TRY9	Cluster: Stage V sporulation protein AE	A0A544TRY9	Psychrobacillus vulpis	121	2325572
UniRef100_A0A1M4N6V0	UniRef100_A0A1M4N6V0	Cluster: Stage V sporulation protein AE	A0A1M4N6V0	Clostridium sp. N3C	119	1776758
UniRef100_A0A5D4RTP6	UniRef100_A0A5D4RTP6	Cluster: Stage V sporulation protein AE	A0A5D4RTP6	Rossellomorea marisflavi	118	189381
UniRef100_UPI00046E947F	UniRef100_UPI00046E947F	Cluster: stage V sporulation protein AE	UPI00046E947F	Paenibacillus ehimensis	121	79264
UniRef100_A0A081P8T8	UniRef100_A0A081P8T8	Cluster: Stage V sporulation protein AEB	A0A081P8T8	Paenibacillus tyrfis	121	1501230
UniRef100_A0A1S9CRE1	UniRef100_A0A1S9CRE1	Cluster: Stage V sporulation protein AE	A0A1S9CRE1	Epulopiscium sp. Nele67-Bin004	118	1764962
UniRef100_UPI0003799C3F	UniRef100_UPI0003799C3F	Cluster: stage V sporulation protein AE	UPI0003799C3F	Paenisporosarcina sp. TG20	113	1211706
UniRef100_A0A1I2JLI5	UniRef100_A0A1I2JLI5	Cluster: Stage V sporulation protein AE	A0A1I2JLI5	Clostridium cadaveris	117	1529
UniRef100_A0A162MGH7	UniRef100_A0A162MGH7	Cluster: Uncharacterized protein	A0A162MGH7; UPI0008389D0C	Thermovenabulum gondwanense	123	520767
UniRef100_UPI001CF8683A	UniRef100_UPI001CF8683A	Cluster: stage V sporulation protein AE	UPI001CF8683A	Ructibacterium gallinarum	118	2779355
UniRef100_A0A0M0KKZ6	UniRef100_A0A0M0KKZ6	Cluster: Stage V sporulation protein AEB	A0A0M0KKZ6	Alkalihalobacillus halodurans (Bacillus halodurans)	116	86665
UniRef100_A0A0L0WCQ4	UniRef100_A0A0L0WCQ4	Cluster: Stage V sporulation protein SpoAE	A0A0L0WCQ4	Gottschalkia purinilytica (Clostridium purinilyticum)	120	1503
UniRef100_W9EB15	UniRef100_W9EB15	Cluster: Stage V sporulation protein AE	W9EB15; I3VWK8	Thermoanaerobacterium aotearoense SCUT27; Thermoanaerobacterium saccharolyticum (strain DSM 8691 / JW/SL-YS485)	118	1421016; 1094508
UniRef100_UPI0006679349	UniRef100_UPI0006679349	Cluster: stage V sporulation protein AE	UPI0006679349	Clostridium	118	1485
UniRef100_A0A2G2MPJ1	UniRef100_A0A2G2MPJ1	Cluster: Stage V sporulation protein AE	A0A2G2MPJ1	Alkaliphilus sp.	117	1872455
UniRef100_A0A1N7AUG7	UniRef100_A0A1N7AUG7	Cluster: Stage V sporulation protein AE	A0A1N7AUG7	Domibacillus enclensis	118	1017273
UniRef100_A0A1X2G0C0	UniRef100_A0A1X2G0C0	Cluster: Stage V sporulation protein AE	A0A1X2G0C0; A0A7C6Q2P1	Thermoanaerobacterium sp. PSU-2; Thermoanaerobacterium sp.	118	1930849; 40549
UniRef100_A0A1M4V4E2	UniRef100_A0A1M4V4E2	Cluster: Stage V sporulation protein AE	A0A1M4V4E2	Thermoanaerobacter uzonensis DSM 18761	118	1123369
UniRef100_UPI0007841BED	UniRef100_UPI0007841BED	Cluster: stage V sporulation protein AE	UPI0007841BED	Alicyclobacillus sendaiensis	116	192387
UniRef100_A0A5S5CI33	UniRef100_A0A5S5CI33	Cluster: Stage V sporulation protein AE	A0A5S5CI33; UPI0011E6A3F4	Paenibacillus methanolicus	122	582686
UniRef100_E4QAH4	UniRef100_E4QAH4	Cluster: Stage V sporulation protein AE	E4QAH4	Caldicellulosiruptor hydrothermalis (strain DSM 18901 / VKM B-2411 / 108)	117	632292
UniRef100_A0A844FH44	UniRef100_A0A844FH44	Cluster: Stage V sporulation protein AE	A0A844FH44; A0A7C6K3U9	Anaerosalibacter bizertensis; Tissierellia bacterium	118	932217; 2049431
UniRef100_R7RQ71	UniRef100_R7RQ71	Cluster: Stage V sporulation protein AE (SpoVAE)	R7RQ71	Thermobrachium celere DSM 8682	118	941824
UniRef100_A0A329MQ96	UniRef100_A0A329MQ96	Cluster: Stage V sporulation protein AE	A0A329MQ96	Paenibacillus contaminans	121	450362
UniRef100_A0A1C6KTJ4	UniRef100_A0A1C6KTJ4	Cluster: Stage V sporulation protein AE	A0A1C6KTJ4	uncultured Clostridium sp.	118	59620
UniRef100_UPI00101CCD50	UniRef100_UPI00101CCD50	Cluster: stage V sporulation protein AE	UPI00101CCD50	Xylanivirga thermophila	118	2496273
UniRef100_UPI00194334EF	UniRef100_UPI00194334EF	Cluster: stage V sporulation protein AE	UPI00194334EF	Thermobrachium celere	118	53422
UniRef100_UPI001BAD3BF9	UniRef100_UPI001BAD3BF9	Cluster: stage V sporulation protein AE	UPI001BAD3BF9	Litoribacterium kuwaitense	117	1398745
UniRef100_E4S8Z2	UniRef100_E4S8Z2	Cluster: Stage V sporulation protein AE	E4S8Z2	Caldicellulosiruptor kristjanssonii (strain ATCC 700853 / DSM 12137 / I77R1B)	117	632335
UniRef100_A0A0B3BD73	UniRef100_A0A0B3BD73	Cluster: Stage V sporulation protein AEB	A0A0B3BD73	Thermoanaerobacter sp. YS13	118	1511746
UniRef100_UPI000C23884A	UniRef100_UPI000C23884A	Cluster: stage V sporulation protein AE	UPI000C23884A	Bacillus solitudinis	116	2014074
UniRef100_A0A7X8L903	UniRef100_A0A7X8L903	Cluster: Stage V sporulation protein AE	A0A7X8L903	Epulopiscium sp.	118	2384
UniRef100_A0A1H2SU50	UniRef100_A0A1H2SU50	Cluster: Stage V sporulation protein AE	A0A1H2SU50	Tepidimicrobium xylanilyticum	118	1123352
UniRef100_G2PYP4	UniRef100_G2PYP4	Cluster: Uncharacterized protein	G2PYP4	Caldicellulosiruptor lactoaceticus 6A	117	632516
UniRef100_D9THQ9	UniRef100_D9THQ9	Cluster: Stage V sporulation protein AE	D9THQ9	Caldicellulosiruptor obsidiansis (strain ATCC BAA-2073 / strain OB47)	117	608506
UniRef100_UPI0006D2162D	UniRef100_UPI0006D2162D	Cluster: stage V sporulation protein AE	UPI0006D2162D	Paenibacillus	121	44249
UniRef100_A0A1T4MQV4	UniRef100_A0A1T4MQV4	Cluster: Stage V sporulation protein AE	A0A1T4MQV4	Garciella nitratireducens DSM 15102	117	1121911
UniRef100_A0A3A9GUI0	UniRef100_A0A3A9GUI0	Cluster: Stage V sporulation protein AE	A0A3A9GUI0	Roseburia sp. 1XD42-69	118	2320088
UniRef100_UPI000983C992	UniRef100_UPI000983C992	Cluster: stage V sporulation protein AE	UPI000983C992	Clostridium	118	1485
UniRef100_A0A7X3MLF0	UniRef100_A0A7X3MLF0	Cluster: Stage V sporulation protein AE	A0A7X3MLF0	Sporofaciens musculi	118	2681861
UniRef100_UPI0005B2C90A	UniRef100_UPI0005B2C90A	Cluster: stage V sporulation protein AE	UPI0005B2C90A	Anaerosalibacter massiliensis	118	1347392
UniRef100_A0A355UYV8	UniRef100_A0A355UYV8	Cluster: Stage V sporulation protein AE	A0A355UYV8	Ruminococcus sp.	117	41978
